nom,prenom,dateNaissance,statusVIP
Lissi,Stacey,1992-06-29,false
Joni,Devina,2008-01-22,false
Delp,Dianemarie,1990-10-13,false
Sharl,Evita,1998-12-31,false
Burkle,Myrtice,1993-07-28,true
Cimbura,Myriam,2000-04-17,true
Vittoria,Kimberley,1996-08-27,true
Dowski,Laurene,1992-02-09,true
Rubie,Gilligan,2009-02-12,true
Auberbach,Augustine,1990-09-05,false
Fax,Chloris,1999-09-07,false
Isidore,Gloria,1991-09-06,true
Clara,Pearline,2006-11-13,false
Lacombe,Rosabelle,1991-12-06,true
Imelida,Sonni,2000-12-20,false
Schwejda,Ermengarde,1992-10-18,true
Ferino,Zia,1990-11-28,true
Lunsford,Amalie,1995-02-24,true
Roscoe,Riannon,2008-07-01,false
Selway,Constance,2003-12-19,true
Beebe,Silvana,2003-10-09,true
Kaja,Lusa,1991-02-22,false
Anestassia,Gaylene,2008-12-06,true
Orpah,Jobi,2001-03-09,false
Cadmar,Gui,1996-02-14,true
Taam,Marleah,1997-03-20,false
Schwejda,Meriel,1996-08-20,true
Jena,Kial,2001-02-09,true
Ranjiv,Dolli,2002-08-09,true
Brandice,Tressa,1991-04-06,false
Silvan,Emma,1996-10-27,true
Hebner,Shell,2002-09-01,true
Vittoria,Brianna,1990-05-07,false
Klemperer,Kirstin,2007-09-15,false
Bach,Ardeen,2002-09-06,true
Sammons,Clo,1996-06-11,true
Holbrook,Bernardine,2008-05-30,false
Leffen,Estell,1990-04-25,false
Elisha,Alisha,2007-08-20,false
Fulmer,Pollyanna,2006-01-17,true
Bashemeth,Katleen,1994-03-06,false
Kiersten,Agathe,1990-10-29,true
Lowry,Sarette,2000-05-30,false
Peonir,Taffy,2002-10-25,true
Papageno,Clarice,2006-02-19,false
Joachim,Sophia,2009-07-11,false
Rillings,Hannis,1998-01-24,true
Eliathas,Glenda,2007-03-15,true
Odell,Jackie,1999-03-09,false
Bebe,Jsandye,2001-01-02,true
Israeli,Aubrie,1996-04-17,false
Rosemary,Jan,2009-01-06,true
Howlyn,Lanna,1997-11-06,false
Candy,Fina,1991-05-30,false
Soneson,Flo,2006-06-30,true
Anselmi,Dolli,2002-12-23,false
Karylin,Maryellen,2008-02-20,true
Middleton,Britni,2007-07-05,true
Sharl,Zsa Zsa,2009-02-14,true
Henrie,Aimil,1999-02-17,false
Wolfgram,Fanchon,1997-04-28,false
Bonilla,Romona,2007-06-24,true
Rubie,Hannis,2007-08-14,true
Barbey,Charlena,2002-03-09,false
Erlandson,Hayley,2008-01-01,true
Neva,Raquela,1997-06-19,false
Argus,Kimmy,2002-06-29,false
Ralfston,Sallie,2007-09-12,true
Celestine,Marti,1997-12-09,false
Braun,Jillayne,1996-07-31,true
Lesley,Peri,1992-01-25,false
Girardo,Nariko,2009-04-10,false
